"uley","number_label","color_label","year_birth","beekeeper","владелец","status","poroda","data_poroda","mater","mate","place_mate","info","foto"
"65","65","зеленый","24","gse","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"2","2","зеленый","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"","56","зеленый","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"","34","","22","gse","GSE","Архив","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"49_49.24.GSE","49","","24","","GSE","Тест","Среднерусская","","34.22.GSE","Инструментальное осемененние","Тараканов","",""
"15","15","","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"76","76","","24","","GSE","Пользовательская","Помесь","","","Инструментальное осемененние","Тараканов","",""
"7","7","синий","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"6","6","зеленый","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"29_29.24.GSE","29","зеленый","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","матка сидела в изоляторе хороший печатный расплод с одной стороны расплод уже начал выходить изолирована одиннадцатого июня, проверял маточники убирал восемнадцатого июня двадцать пятого пересадил в магазин Три рамки вощины одна рамка сот все вся вощина отстроена добавил один магазин",""
"98_98.24.GSE","98","зеленый","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"39_39.24.GSE","39","желтый","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"43_43.24.GSE","43","синий","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"22_22.24.GSE","22","синий","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"90_90.24.GSE","90","зеленый","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"61_61.24.GSE","61","синий","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"87_87.24.GSE","87","синий","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"59_59.24.GSE","59","желтый","24","gse","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"70_70.24.GSE","70","синий","24","","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"8_8.25.GSE","8","синий","25","","GSE","Пользовательская","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
"35_35.24.GSE","35","зеленый","24","gse","GSE","Тест","Среднерусская","","","Инструментальное осемененние","Тараканов","",""
